json_path,avsr_text,stt_text,selected_text,gt_text,cer_before,wer_before,cer_after,wer_after
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\19_snr0.0.json,나는 회사에 입사하면 내 살이 달라질 줄 알았는데 그럼 더 피곤하긴 했,나는 회사에 입사하면 내 삶이 달라질 줄 알았는데 그건 더 피곤하긴 하네,나는 회사에 입사하면 내 삶이 달라질 줄 알았는데 그건 더 피곤하긴 하네,나는 회사에 입사하면 내 삶이 달라질 줄 알았는데 그냥 더 피곤하기만 해.,0.146341,0.333333,0.121951,0.250000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\1_snr0.0.json,올해 경기가 안 좋아 아 안 좋아서 그런지 내 월 월급 인상은 없었어 ,올해 경기가 안 좋아? 아 안 좋아서 그런지 내 월? 월급 인상은 없었어,올해 경기가 안 좋아 아 안 좋아서 그런지 내 월 월급 인상은 없었어 ,올해 경기가 안 좋아 아 안 좋아서 그런지 내 월 월급 인상은 없었어.,0.025641,0.076923,0.025641,0.076923
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\20_snr0.0.json,고들이 크노우든 환병으로 전환을 해,그들이 클로드 환경으로 전하는,고들이 크노우든 환병으로 전환을 해,고객들이 클라우드 환경으로 전환을 해.,0.285714,0.800000,0.285714,0.800000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\21_snr0.0.json,이 좀에 하던 모대로 제 안 할 기회가 기회가 결수록 줄어드네 대학 동기 중일,기존에 하던 대로 안 할 기회가 갈수록 줄어드네 대학 동기 중에,기존에 하던 대로 안 할 기회가 갈수록 줄어드네 대학 동기 중에,기존에 하던 대로 제안할 기회 기회가 갈수록 줄어드네.,0.566667,1.500000,0.433333,0.750000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\22_snr0.0.json,누나 예술 공기업을 목표로 숨 년 동안 취업을 준비해서 한 친구가 있었는데 드디어 취업에 성공했대,문화예술공기업을 목표로 3년 동안 취업을 준비했던 친구가 있었는데 드디어 취업에 성공했대,문화예술공기업을 목표로 3년 동안 취업을 준비했던 친구가 있었는데 드디어 취업에 성공했대,대학 동기 중에 문화 예술 공기업을 목표로 삼 년 동안 취업을 준비하던 친구가 있었는데 드디어 취업에 성공했대.,0.274194,0.470588,0.241935,0.588235
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\23_snr0.0.json,다행스럽게 이번 외식 경험 방벅에 내가 포함되어 오지 않았,다행스럽게 이번 공직 경험 방향에 내가 포함되지 않았어요.,다행스럽게 이번 외식 경험 방벅에 내가 포함되어 오지 않았,다행스럽게 이번 보직 경험을 변경에 내가 포함되지 않았어.,0.312500,0.750000,0.312500,0.750000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\24_snr0.0.json,오늘 회의 때 신입이 만든 깨피티랑 내가 만든 디스티가 너무 비긋했어,오늘 회의 때 신입이 만든 PPT랑 내가 만든 PPT가 너무 비교가 됐어.,오늘 회의 때 신입이 만든 PPT랑 내가 만든 PPT가 너무 비교가 됐어.,오늘 회의 때 신입이 만든 피피티랑 내가 만든 피피티가 너무 비교됐어.,0.205128,0.363636,0.205128,0.363636
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\25_snr0.0.json,너무 스트레스받아 이번에 정말 열심히 했는데 심한데 우리 연구 주제가 측핵되지 않았어,너무 스트레스 받아. 이번에 정말 열심히 했는데 실패입니다. 우리 연구 주제가 채택되지 않았어.,너무 스트레스 받아. 이번에 정말 열심히 했는데 실패입니다. 우리 연구 주제가 채택되지 않았어.,너무 스트레스받아. 이번에 정말 열심히 했는데 실망이야. 우리 연구 주제가 채택되지 않았어.,0.176471,0.333333,0.098039,0.250000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\26_snr0.0.json,동기가 학장도 잘 받고 그신 분들이랑도 친해서 굽고 질투해,동기가 학점도 잘 받고 교수님들이랑도 친해서 부럽고 질투가 나,동기가 학장도 잘 받고 그신 분들이랑도 친해서 굽고 질투해,내 동기가 학점도 잘 받고 교수님들이랑도 친해서 부럽고 질투 나.,0.333333,0.700000,0.333333,0.700000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\27_snr0.0.json,시험이 안 된 상태로 이십 대를 트나 보낼까 봐 ,취업이 안 된 상태로 20대를 다 보낼까 봐 걱정돼,취업이 안 된 상태로 20대를 다 보낼까 봐 걱정돼,취업이 안 된 상태로 이십 대를 다 보낼까 봐 걱정돼.,0.300000,0.300000,0.133333,0.300000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\28_snr0.0.json,해도 너무하지 오늘 좋아진 업무는 도저히 혼자 할 수 있는 양이 아니잖아 ,"해도 너무하지, 오너로 주어진 업무는 도저히 혼자랄 수 있는 일이 아니잖아.",해도 너무하지 오늘 좋아진 업무는 도저히 혼자 할 수 있는 양이 아니잖아 ,해도 너무 하지. 오늘 주어진 업무는 도저히 혼자 할 수 있는 양이 아니잖아.,0.116279,0.307692,0.116279,0.307692
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\29_snr0.0.json,기다리던 명절 연휴가 드디어 내일부터 날에 엄신이 났,기다리던 명절 연휴가 드디어 내일부터 많이 너무 신이 나요.,기다리던 명절 연휴가 드디어 내일부터 날에 엄신이 났,기다리던 명절 연휴가 드디어 내일부터라니 너무 신이 나.,0.225806,0.500000,0.225806,0.500000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\2_snr0.0.json,아이가 많다고 이번 트로젝트를 받지 못했어 정말 화가 나,나이가 많다고 이번 프로젝트를 맡지 못했어요. 정말 화가 나요.,나이가 많다고 이번 프로젝트를 맡지 못했어요. 정말 화가 나요.,나이가 많다고 이번 프로젝트를 맡지 못했어. 정말 화가 나.,0.151515,0.555556,0.060606,0.222222
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\30_snr0.0.json,상 상사와 이야기하고 있는데 배에서 계속 소리 가여서 너무 등강 중요했어,상사와 이야기하고 있는데 배에서 계속 소리가 나서 너무 긴장스러웠어요,상사와 이야기하고 있는데 배에서 계속 소리가 나서 너무 긴장스러웠어요,상 상사와 이야기하고 있는데 배에서 계속 소리가 나서 너무 당황스러웠어.,0.125000,0.200000,0.125000,0.200000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\31_snr0.0.json,회사에서 억울한 일이 있었어,회사에서 억울한 일이 있었어요.,회사에서 억울한 일이 있었어요.,회사에서 억울한 일이 있었어.,0.062500,0.250000,0.062500,0.250000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\32_snr0.0.json,승진할 수 있는 마지막 기엔데 떨어질까 봐 안달리나 ,숨지나 수 있는 마지막 기회인데 떨어질까 봐 안가리나,숨지나 수 있는 마지막 기회인데 떨어질까 봐 안가리나,승진할 수 있는 마지막 기횐데 떨어질까 봐 안달이 나.,0.133333,0.333333,0.300000,0.444444
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\33_snr0.0.json,이번에 맡은 프로젝트 결과가 좋지 않아서 스트레스야<unk>,이번에 맡은 프로젝트 결과가 좋지 않아서 스트레스야,이번에 맡은 프로젝트 결과가 좋지 않아서 스트레스야,이번에 맡은 프로젝트 결과가 좋지 않아서 스트레스야.,0.172414,0.142857,0.034483,0.142857
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\34_snr0.0.json,사용하 사용 못한 연차가 있는데 사용할 시간이 없어서 피곤하고 짜증이야,사용 못한 연차가 있는데 사용할 시간이 없어서 피곤하고 짜증나요.,사용 못한 연차가 있는데 사용할 시간이 없어서 피곤하고 짜증나요.,사용 못 사용 못 한 연차가 있는데 사용할 시간이 없어서 피곤하고 짜증 나.,0.142857,0.461538,0.190476,0.461538
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\35_snr0.0.json,나 자신이 너무 부끄러워 나 아침마다 회사에 술가나는 것이 너무 괴로워,나 자신이 너무 부끄럽다. 아침마다 회사에 출근하는 것이 너무 기르고.,나 자신이 너무 부끄러워 나 아침마다 회사에 술가나는 것이 너무 괴로워,나 자신이 너무 부끄럽다.아침마다 회사에 출근하는 것이 너무 괴로워.,0.236842,0.555556,0.236842,0.555556
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\36_snr0.0.json,회사에서 약속한 날짜에 급여를 지급하지 않고 있어 짜증,회사에서 약속한 날짜의 급여를 지급하지 않고 있어야 짜증나...,회사에서 약속한 날짜에 급여를 지급하지 않고 있어 짜증,회사에서 약속한 날짜에 급여를 지급하지 않고 있어 짜증 나.,0.090909,0.111111,0.090909,0.111111
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\37_snr0.0.json,나는 공기업에 다녀서 장년이 보장,나는 공기업에 다녀서 정년이 보정...,나는 공기업에 다녀서 장년이 보장,나는 공기업에 다녀서 정년이 보장돼.,0.150000,0.400000,0.150000,0.400000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\38_snr0.0.json,나 이번 면접에 떨려서 제대로 말을 하지 못했어,나 이번 면접에서 떨려서 제대로 말을 하지 못했어.,나 이번 면접에서 떨려서 제대로 말을 하지 못했어.,나 이번 면접에서 떨려서 제대로 말을 하지 못했어.,0.000000,0.000000,0.000000,0.000000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\39_snr0.0.json,사장님이 명절 보너스를 선물 세초로 지급하셔 화가 나,사장님이 명절 코너스를 선물 세트로 지고서 화가 나.,사장님이 명절 보너스를 선물 세초로 지급하셔 화가 나,사장님이 명절 보너스를 선물 세트로 지급해서 화가 나.,0.133333,0.375000,0.133333,0.375000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\3_snr0.0.json,회사 이번에 중년에 신입이 들어왔어 회사에서 나이를 안 보고 뿜는 건 알았으나 중년의 신입이라고 하니 약간은 불편했지 ,회사에 이번에 중년에 신입이 들어왔어요. 회사에서 나이를 안 보고 뽑는 건 알았으나 중년에 신입이라고 하니 약간은 불편했지.,회사에 이번에 중년에 신입이 들어왔어요. 회사에서 나이를 안 보고 뽑는 건 알았으나 중년에 신입이라고 하니 약간은 불편했지.,회사 이번에 중년의 X 신입이 들어왔어. 회사에서 나이를 안 보고 뽑는 건 알았으나 중년의 신입이라고 하니 약간은 불편했지.,0.086957,0.277778,0.086957,0.277778
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\40_snr0.0.json,나보다 별로라고 생각한 경기가 부장님한테 칭찬을 보였어,나보다 별로라고 생각한 동기가 부장님한테 칭찬을 받았어요.,나보다 별로라고 생각한 동기가 부장님한테 칭찬을 받았어요.,나보다 별로라고 생각한 동기가 부장님한테 칭찬을 받았어.,0.129032,0.285714,0.032258,0.142857
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\41_snr0.0.json,이직한 회사는 정말 좋아 회사 가는 기회를 기대했,이 직한 회사는 정말 좋아. 회사가는 일이 기대돼.,이직한 회사는 정말 좋아 회사 가는 기회를 기대했,이직한 회사는 정말 좋아. 회사 가는 길이 기대돼.,0.214286,0.375000,0.214286,0.375000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\42_snr0.0.json,직장 동료들이 말에게 일을 모두 하난 김치 휴가를 가버려서 너무 속상해 나만 소명할 것부터 스트레스받아,직장 동료들이 나에게 얘를 모두 까먹은 채 유가를 가고 있어서 너무 속상해 나만 희생한 것 같아 스트레스 받아요,직장 동료들이 말에게 일을 모두 하난 김치 휴가를 가버려서 너무 속상해 나만 소명할 것부터 스트레스받아,직장 X 동료들이 나에게 일을 모두 떠넘긴 채 휴가를 가버려서 너무 속상해 나만 희생하는 것 같아 스트레스받아.,0.258065,0.470588,0.258065,0.470588
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\43_snr0.0.json,요즘 취업이 안 돼서 너가 문제인지 열득감만 생기네 ,요즘 취업이 안 돼서 뭔가 문제인지 역돈값만 생기네,요즘 취업이 안 돼서 뭔가 문제인지 역돈값만 생기네,요즘 취업이 안 돼서 뭔가 문제 인지 열등감만 생기네?,0.133333,0.555556,0.166667,0.444444
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\44_snr0.0.json,갑자기 교수님이 어떤 회사의 면접을 보고 오래 다양서,"갑자기 교수님이 어떤 회사에 면접을 보고 오래, 가만있어.",갑자기 교수님이 어떤 회사의 면접을 보고 오래 다양서,갑자기 교수님이 어떤 회사에 면접을 보고 오래. 당황스러워.,0.242424,0.375000,0.242424,0.375000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\45_snr0.0.json,점심시간에 우로를 몰려가는 집안들 사이에서 혼자 잡은 묵었어 심상하고 다랑스러워,점심시간에 우르르 몰려가는 직원들 사이에서 혼자 밥을 먹었어 속상하고 당황스러워,점심시간에 우르르 몰려가는 직원들 사이에서 혼자 밥을 먹었어 속상하고 당황스러워,점심시간에 우르르 몰려가는 직원들 사이에서 혼자 밥을 먹었어. 속상하고 당황스러워.,0.260870,0.600000,0.043478,0.200000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\46_snr0.0.json,매일 똑같은 일상과 똑같은 일을 근복하다 보니 모칠 것 같아,매일 똑같은 일상과 똑같은 일을 반복하다 보니 미칠 것 같아,매일 똑같은 일상과 똑같은 일을 반복하다 보니 미칠 것 같아,매일 똑같은 일상과 똑같은 일을 반복하다 보니 미칠 것 같아.,0.088235,0.300000,0.029412,0.100000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\47_snr0.0.json,진구에 대해 정말 걱정스러웠,진로에 대해 정말 걱정스러워요.,진로에 대해 정말 걱정스러워요.,진로에 대해 정말 걱정스러워.,0.187500,0.500000,0.062500,0.250000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\48_snr0.0.json,정말 나만 두고 모 모두 출장을 갖더라 어쩜 이럴 수 있지 ,정말 나만 두고 모두 출장을 갔더라. 어쩜 이럴 수 있지?,정말 나만 두고 모두 출장을 갔더라. 어쩜 이럴 수 있지?,정말 나만 두고 모 모두 출장을 갔더라. 어쩜 이럴 수가 있지?,0.114286,0.272727,0.085714,0.181818
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\49_snr0.0.json,너무 속상해 너무 먹막해서 불안해 도저히 생각이 안 나,너무 속상해. 너무 막막해서 불안해. 도저히 생각이 안 나.,너무 속상해. 너무 막막해서 불안해. 도저히 생각이 안 나.,너무 속상해. 너무 막막해서 불안해. 도저히 생각이 안 나.,0.121212,0.444444,0.000000,0.000000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\4_snr0.0.json,내 직업이 십 년 안에 기계로 대체될 거야 ,내 직업이 10년 안에 기계로 대체 될 거래요.,내 직업이 10년 안에 기계로 대체 될 거래요.,내 직업이 십 년 안에 기계로 대체될 거래.,0.083333,0.125000,0.166667,0.625000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\50_snr0.0.json,처음 일하는 신입 사원을 너무 심하게 야근해 진 것 같아 후회돼,처음 일하는 신입사원을 너무 심하게 야동진 것 같다 후회대,처음 일하는 신입 사원을 너무 심하게 야근해 진 것 같아 후회돼,처음 일하는 신입 사원을 너무 심하게 야단친 것 같아 후회돼.,0.147059,0.300000,0.147059,0.300000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\5_snr0.0.json,얼마 전 회사 얼마 전 면접 본 회사에서 합격했다고 보늘 예약해 너무 심났,얼마 전 면접본 회사에서 합격했다고 오늘 연락이 왔어요. 너무 신나.,얼마 전 면접본 회사에서 합격했다고 오늘 연락이 왔어요. 너무 신나.,얼마 전 회사 어 얼마 전 면접 본 회사에서 합격했다고 오늘 연락이 왔어. 너무 신나.,0.270833,0.333333,0.250000,0.466667
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\6_snr0.0.json,어제 회사에서 정말 창소한 일을 경험했어,어제 회사에서 정말 청년일을 결합했어요,어제 회사에서 정말 창소한 일을 경험했어,어제 회사에서 정말 창피한 일을 경험했어.,0.086957,0.333333,0.086957,0.333333
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\7_snr0.0.json,여름에는 땀을 많이 흘려서 아침에 샤워하지 않나 어떤 직원은 아침부터 땅감새가 주어짐을 정도 중돈이래,여름에는 땀을 많이 흘려서 아침에 샤워하지 않나? 어떤 집은 아침부터 땀낭새가 구역지고 있을 정도로 진동이 돼,여름에는 땀을 많이 흘려서 아침에 샤워하지 않나? 어떤 집은 아침부터 땀낭새가 구역지고 있을 정도로 진동이 돼,여름에는 땀을 많이 흘려서 아침에 샤워하지 않나? 어떤 직원은 아침부터 땀 냄새가 구역질 날 정도로 진동을 해.,0.258065,0.470588,0.177419,0.411765
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\8_snr0.0.json,회사 일을 열심히 해봐도 이게 다 무슨 일이 있는 건지 한세이 사함이 안 좋,회사 일을 열심히 해봐도 이게 다 무슨 의미가 있는 건지 하는 회의감이 많이 들어.,회사 일을 열심히 해봐도 이게 다 무슨 의미가 있는 건지 하는 회의감이 많이 들어.,회사 일을 열심히 해봐도 이게 다 무슨 의미가 있는 건지 하는 회의감이 많이 들어.,0.000000,0.000000,0.000000,0.000000
C:\Users\2302\Documents\GitHub\olkavs-avspeech\sample_data\test_preprocessed_noisy\test\lip_subset\a\b\c\d\lip_J_1_F_02_C002_A_001\9_snr0.0.json,진짜 공부 못하던 친구가 우리 회사에 합격했대 너무 불아파 ,진짜 공부 못하던 친구가 우리 회사에 합격했대 너무 배 아파,진짜 공부 못하던 친구가 우리 회사에 합격했대 너무 배 아파,진짜 공부 못하던 친구가 우리 회사에 합격했대. 너무 배 아파.,0.114286,0.300000,0.057143,0.200000
